baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000000402	69.8173799589929	2.56765579174461	0.570102492538184	4.50384943997177	6.67334934330434e-06	0.00177043958077864
ENSMUSG00000003070	175.769238623645	2.99455848376457	0.809030609559789	3.70141555632113	0.000214400010415528	0.0226023956905355
ENSMUSG00000023041	39.6147259536178	6.7141164984904	1.89687214300095	3.53957251323661	0.000400775650029136	0.034298638694429
ENSMUSG00000024205	535.982607474647	1.59784659010003	0.402419845600903	3.9705959026799	7.16930899072025e-05	0.00951008837619041
ENSMUSG00000029535	39.2715963265195	2.67519646329008	0.635965766009009	4.20651017126003	2.5934441640258e-05	0.00529262105166188
ENSMUSG00000031740	1579.11951894232	3.38163405627414	0.71054537085038	4.7592091863564	1.94352929297829e-06	0.000736597602038772
ENSMUSG00000037660	43813.5463557688	5.10673502904344	1.23359939911982	4.13970291545792	3.47755881416821e-05	0.00587293963051454
ENSMUSG00000044694	34357.7169518028	3.58367386773195	0.866564846107339	4.13549416853225	3.54191609831258e-05	0.00587293963051454
ENSMUSG00000047945	287.263468038873	1.90448921738918	0.515683975684104	3.69313243612562	0.000221508589503929	0.0226023956905355
ENSMUSG00000054196	79.3858804829823	4.23449529433309	1.2188385964576	3.47420512169544	0.00051236918612621	0.0388375843083667
ENSMUSG00000055210	71.2296662287262	3.57485300696599	0.84152917386255	4.24804405836307	2.15644991901906e-05	0.0047675513626313
ENSMUSG00000056481	73.2722209331175	4.28271658683807	1.11646869589452	3.83594865004856	0.000125080542264733	0.0138266116095141
ENSMUSG00000057160	343.164549305997	1.92256228354411	0.550087452090832	3.49501206805687	0.000474040321004002	0.0381099688370793
ENSMUSG00000058665	2452.40907671178	3.32524536085217	0.817458486572545	4.06778498905103	4.74621439236536e-05	0.00740688634290901
ENSMUSG00000064288	442.155365639675	1.9488613025411	0.548716130960742	3.55167488721146	0.000382787513462346	0.0338511757738534
ENSMUSG00000073060	7075.94000307303	4.97436757991526	1.0330195816266	4.81536620252886	1.46930185750029e-06	0.000649676304658043
ENSMUSG00000073415	544.154661180701	3.21900102332737	0.902583426790246	3.56643045704344	0.000361876783348632	0.0331054864215145
ENSMUSG00000080949	32.9236326387721	4.49628734569073	1.22777240362293	3.66215051944727	0.000250106826479988	0.0244582503513268
ENSMUSG00000081319	33.8823122684741	8.64388649904278	1.90300939509766	4.54221956092823	5.56650205638918e-06	0.00164088110617783
ENSMUSG00000084863	34.4861386971673	6.93602671174864	1.61931008250395	4.28332213001687	1.84123299331239e-05	0.00444071921023433
ENSMUSG00000087775	50577.9835126988	3.08523606878381	0.523311356951589	5.89560312001642	3.73315280573785e-09	4.95202719681126e-06
ENSMUSG00000092837	1763.47493015652	3.23530336297556	0.555767212452556	5.82132822967088	5.83817867785415e-09	5.16289601078235e-06
ENSMUSG00000095616	201.599753652843	10.3006845470435	2.11794902418396	4.86351863497391	1.15317163169788e-06	0.000611872867778894
ENSMUSG00000096672	27.0085328303868	5.68049197798358	1.63108572050679	3.48264466212027	0.000496486892868991	0.0387405801994539
ENSMUSG00000098973	468363.336952728	3.20746515816636	0.831127983805173	3.85917117539653	0.000113772228822884	0.0131233792637874
ENSMUSG00000101972	28.3533792053231	8.37118441210802	1.78379318595251	4.69291197994904	2.69343396705036e-06	0.000893210039323075
ENSMUSG00000102448	36.3916330194237	4.02268984772784	0.966493333232358	4.16214960766908	3.15265679282378e-05	0.00587293963051454
ENSMUSG00000117350	4458.03038304639	4.66992903404907	0.723327752933287	6.4561728968801	1.07383920440855e-10	2.84889540929588e-07
ENSMUSG00002075661	1769.26109361139	3.32815285739801	0.84811150734917	3.92419254845436	8.70211153824763e-05	0.0104939554140777
ENSMUSG00002076479	59.5135343850904	8.49251902691611	2.13445079516107	3.97878416601084	6.92685866522642e-05	0.00951008837619041
ENSMUSG00002076601	2690.15111027348	2.17494307222835	0.621107138079121	3.50171965331895	0.000462265750527037	0.0381099688370793
